"metric","mean","sd"
"mae_pp1_st",0.219931897811138,0.021516495092118
"mae_zpm_st",0.333430388000587,0.032615481833059
"mae_pp1_w_st",0.155803193054947,0.0223923462043165
"mae_zpm_w_st",0.310619178324049,0.0487804156832418
"mae_pp1_pl",0.221654643092626,0.0214071008045429
"mae_zpm_pl",0.300304631526435,0.0331436884917008
"mae_pp1_w_pl",0.156566479251499,0.0214652051977614
"mae_zpm_w_pl",0.270880346007437,0.0453022059073318
